EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 15-08-2025
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : precipitation amount in 0.1 mm
30-34 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the series (SOUID: 221494) of UNITED KINGDOM, YEOVILTON (STAID: 1812)
See file sources.txt for more info.



 STAID, SOUID,    DATE,   RR, Q_RR
  1812,221494,19870501,-9999,    9
  1812,221494,19870502,-9999,    9
  1812,221494,19870503,-9999,    9
  1812,221494,19870504,-9999,    9
  1812,221494,19870505,-9999,    9
  1812,221494,19870506,-9999,    9
  1812,221494,19870507,-9999,    9
  1812,221494,19870508,-9999,    9
  1812,221494,19870509,-9999,    9
  1812,221494,19870510,-9999,    9
  1812,221494,19870511,-9999,    9
  1812,221494,19870512,-9999,    9
  1812,221494,19870513,    0,    0
  1812,221494,19870514,   10,    0
  1812,221494,19870515,   10,    0
  1812,221494,19870516,    4,    0
  1812,221494,19870517,   20,    0
  1812,221494,19870518,    6,    0
  1812,221494,19870519,    0,    0
  1812,221494,19870520,    0,    0
  1812,221494,19870521,    0,    0
  1812,221494,19870522,   64,    0
  1812,221494,19870523,    0,    0
  1812,221494,19870524,    0,    0
  1812,221494,19870525,    2,    0
  1812,221494,19870526,    0,    0
  1812,221494,19870527,    8,    0
  1812,221494,19870528,    0,    0
  1812,221494,19870529,    0,    0
  1812,221494,19870530,   94,    0
  1812,221494,19870531,   18,    0
  1812,221494,19870601,    0,    0
  1812,221494,19870602,   52,    0
  1812,221494,19870603,   68,    0
  1812,221494,19870604,    2,    0
  1812,221494,19870605,   92,    0
  1812,221494,19870606,   40,    0
  1812,221494,19870607,    0,    0
  1812,221494,19870608,    2,    0
  1812,221494,19870609,    0,    0
  1812,221494,19870610,    0,    0
  1812,221494,19870611,    0,    0
  1812,221494,19870612,    2,    0
  1812,221494,19870613,    0,    0
  1812,221494,19870614,    0,    0
  1812,221494,19870615,    0,    0
  1812,221494,19870616,   44,    0
  1812,221494,19870617,   32,    0
  1812,221494,19870618,   78,    0
  1812,221494,19870619,    0,    0
  1812,221494,19870620,    2,    0
  1812,221494,19870621,   14,    0
  1812,221494,19870622,   32,    0
  1812,221494,19870623,    4,    0
  1812,221494,19870624,    0,    0
  1812,221494,19870625,   78,    0
  1812,221494,19870626,    0,    0
  1812,221494,19870627,   24,    0
  1812,221494,19870628,    0,    0
  1812,221494,19870629,    0,    0
  1812,221494,19870630,    2,    0
  1812,221494,19870701,    0,    0
  1812,221494,19870702,    0,    0
  1812,221494,19870703,    0,    0
  1812,221494,19870704,    0,    0
  1812,221494,19870705,    0,    0
  1812,221494,19870706,    0,    0
  1812,221494,19870707,    0,    0
  1812,221494,19870708,    0,    0
  1812,221494,19870709,    0,    0
  1812,221494,19870710,    0,    0
  1812,221494,19870711,    0,    0
  1812,221494,19870712,    0,    0
  1812,221494,19870713,    0,    0
